area,counts,coordinates,lat,lon
Florida,581,27.7567667 -81.4639835,27.7567667,-81.4639835
New South Wales,159,-31.8759835 147.2869493,-31.8759835,147.2869493
Hawaii,134,19.5872677 -155.4268897,19.5872677,-155.4268897
California,117,36.7014631 -118.7559974,36.7014631,-118.7559974
Western Australia,93,-25.2303005 121.0187246,-25.2303005,121.0187246
South Carolina,82,33.6874388 -80.4363743,33.6874388,-80.4363743
Queensland,68,-22.1646782 144.5844903,-22.1646782,144.5844903
Western Cape Province,64,-33.9872966 18.4586,-33.9872966,18.4586
North Carolina,62,35.6729639 -79.0392919,35.6729639,-79.0392919
Eastern Cape Province,59,-33.8048865 25.6333056,-33.8048865,25.6333056
Pernambuco,45,-8.4116316 -37.5919699,-8.4116316,-37.5919699
South Australia,34,-30.5343665 135.6301212,-30.5343665,135.6301212
Texas,31,31.8160381 -99.5120986,31.8160381,-99.5120986
KwaZulu-Natal,30,-28.503833 30.8875009,-28.503833,30.8875009
Victoria,30,-36.5986096 144.6780052,-36.5986096,144.6780052
North Island,22,-38.0035304 175.9578526,-38.0035304,175.9578526
South Island,17,-43.586562 171.2123294,-43.586562,171.2123294
Oregon,16,43.9792797 -120.737257,43.9792797,-120.737257
Abaco Islands,16,26.3918096 -77.1370018,26.3918096,-77.1370018
Alabama,9,33.2588817 -86.8295337,33.2588817,-86.8295337
Binh Dinh Province,8,14.1525201 108.9239618,14.1525201,108.9239618
North Province,8,-19.4615267 158.5833927,-19.4615267,158.5833927
Grand Bahama Island,7,26.6616762 -78.2682139,26.6616762,-78.2682139
Quintana Roo,7,19.6666671 -88.5000001,19.6666671,-88.5000001
South Sinai Peninsula,7,29.5231696 33.8054726,29.5231696,33.8054726
Bali,6,48.8566969 2.3514616,48.8566969,2.3514616
Massachusetts,6,42.3788774 -72.032366,42.3788774,-72.032366
Virginia,6,37.1232245 -78.4927721,37.1232245,-78.4927721
Tasmania,6,-42.1422055 146.6723518,-42.1422055,146.6723518
South Province,6,-22.1821122 166.541088,-22.1821122,166.541088
Society Islands,6,-17.6873439 -149.4451681,-17.6873439,-149.4451681
Northern Territory,6,-19.8516101 133.2303375,-19.8516101,133.2303375
Galapagos Islands,5,-0.6288151 -90.3638752,-0.6288151,-90.3638752
New Jersey,5,40.0757384 -74.4041622,40.0757384,-74.4041622
Loyalty Islands,5,-20.9327968 167.1657726,-20.9327968,167.1657726
Rio de Janeiro,5,-22.9110137 -43.2093727,-22.9110137,-43.2093727
Inhambane Province,5,-23.865961 35.384363,-23.865961,35.384363
Baja California,4,30.0338923 -115.1425107,30.0338923,-115.1425107
Sinai Peninsula,4,29.5231696 33.8054726,29.5231696,33.8054726
Saint-Gilles,4,49.2801594 3.6756348,49.2801594,3.6756348
Exuma Islands,4,24.25 -76.5,24.25,-76.5
Vitu Levu,3,-18.0 178.0,-18.0,178.0
Colima,3,19.166667 -104.0,19.166667,-104.0
Alicante,3,38.353738 -0.4901846,38.353738,-0.4901846
Vava'u,3,-18.7196757 -174.0408473,-18.7196757,-174.0408473
Georgia,3,41.6809707 44.0287382,41.6809707,44.0287382
Saint-Gilles-les-Bains,3,-21.0526584 55.2190297,-21.0526584,55.2190297
Canary Islands,3,28.2935785 -16.6214471,28.2935785,-16.6214471
Cocos Island,3,5.528035 -87.0596194,5.528035,-87.0596194
Cook Islands,3,-19.9196729 -157.9753369,-19.9196729,-157.9753369
Tuamotos,3,,,
St. Johns Reef,3,-28.7385071 24.7443267,-28.7385071,24.7443267
Puerto Rico,3,18.2214149 -66.4132818,18.2214149,-66.4132818
Madang Province,3,33.5440368 126.674272,33.5440368,126.674272
Guerro,3,46.0856755 8.5706146,46.0856755,8.5706146
Taveuni,3,-16.8261493 -179.9354607,-16.8261493,-179.9354607
Westerm Australia,3,-37.8869651 144.7175377,-37.8869651,144.7175377
Guanacaste,3,10.5130866 -85.5287173,10.5130866,-85.5287173
New York,3,40.7127281 -74.0060152,40.7127281,-74.0060152
Louisiana,3,30.8703881 -92.007126,30.8703881,-92.007126
Bahia,3,-12.285251 -41.9294776,-12.285251,-41.9294776
Saint-Leu,3,-21.1677694 55.2881932,-21.1677694,55.2881932
Kingston Parish,2,45.4719709 -66.0258356,45.4719709,-66.0258356
Maryland,2,39.5162234 -76.9382069,39.5162234,-76.9382069
Eastern Province,2,7.7473677 81.5886354,7.7473677,81.5886354
Anzoategui,2,9.018592 -64.2177747,9.018592,-64.2177747
New Providence Island,2,25.0302511 -77.3960341,25.0302511,-77.3960341
Rio Grande de Norte,2,6.5063736 -75.4062239,6.5063736,-75.4062239
Tuamotus,2,,,
Malampa Province,2,-16.107025 167.417402,-16.107025,167.417402
