order_id,date_case,country,area,location,type,activity,species
6303.0,2018.06.25,USA,California,"Oceanside, San Diego County",Boating,Paddling,white shark
6302.0,2018.06.18,USA,Georgia,"St. Simon Island, Glynn County",Unprovoked,Standing,
6301.0,2018.06.09,USA,Hawaii,"Habush, Oahu",Invalid,Surfing,
6300.0,2018.06.08,AUSTRALIA,New South Wales,Arrawarra Headland,Unprovoked,Surfing,2 m shark
6299.0,2018.06.04,MEXICO,Colima,La Ticla,Provoked,Free diving,"tiger shark, 3m"
6298.0,2018.06.03,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Unprovoked,Kite surfing,
6297.0,2018.06.03,BRAZIL,Pernambuco,"Piedade Beach, Recife",Unprovoked,Swimming,tiger shark
6296.0,2018.05.27,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Unprovoked,Fishing,"lemon shark, 3'"
6295.0,2018.05.26,USA,Florida,"Cocoa Beach, Brevard  County",Unprovoked,Walking,"bull shark, 6'"
6294.0,2018.05.26,USA,Florida,"Daytona Beach, Volusia County",Unprovoked,Standing,
6293.0,2018.05.24,AUSTRALIA,Queensland,Cairns Aquarium,Provoked,Feeding sharks,grey reef shark
6292.0,2018.05.21,USA,South Carolina,"Isle of Palms,  Charleston County",Unprovoked,Boogie boarding,
6291.0,2018.05.13,USA,South Carolina,"Hilton Head Island, Beaufort County",Unprovoked,Swimming,
6290.0,2018.05.13,ENGLAND,Cornwall,Off Land's End,Invalid,Fishing,invalid incident
6289.0,2018.05.00,AUSTRALIA,Westerm Australia,Dugong Bay,Provoked,Feeding sharks,"tawny nurse shark, 2m"
6288.0,2018.05.12,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Unprovoked,Surfing,
6287.0,2018.05.09,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Questionable,Surfing,not valid
6286.0,2018.04.30,THAILAND,Hua Hin,Sai Noi Beach,Unprovoked,Swimming,
